"ASV","Contaminant","Genus","Family","Order","Phylum","Kingdom"
"ASV_28140",TRUE,"g__","f__","o__Absconditabacteriales (SR1)","p__Patescibacteria","k__Bacteria"
"ASV_28147",TRUE,"g__","f__","o__Absconditabacteriales (SR1)","p__Patescibacteria","k__Bacteria"
"ASV_28157",TRUE,"g__","f__","o__Absconditabacteriales (SR1)","p__Patescibacteria","k__Bacteria"
"ASV_28159",TRUE,"g__","f__","o__","p__Patescibacteria","k__Bacteria"
"ASV_28165",TRUE,"g__","f__","o__","p__Patescibacteria","k__Bacteria"
"ASV_28345",TRUE,"g__","f__","o__Absconditabacteriales (SR1)","p__Patescibacteria","k__Bacteria"
"ASV_28353",TRUE,"g__","f__","o__Absconditabacteriales (SR1)","p__Patescibacteria","k__Bacteria"
"ASV_28393",TRUE,"g__","f__","o__Absconditabacteriales (SR1)","p__Patescibacteria","k__Bacteria"
"ASV_28500",TRUE,"g__","f__","o__","p__Elusimicrobiota","k__Bacteria"
"ASV_28630",TRUE,"g__Jeotgalicoccus","f__Staphylococcaceae","o__Staphylococcales","p__Firmicutes","k__Bacteria"
"ASV_28870",TRUE,"g__Ruminiclostridium","f__Hungateiclostridiaceae","o__Oscillospirales","p__Firmicutes","k__Bacteria"
"ASV_28942",TRUE,"g__Veillonella","f__Veillonellaceae","o__Veillonellales-Selenomonadales","p__Firmicutes","k__Bacteria"
"ASV_29053",TRUE,"g__Anaerospora","f__Sporomusaceae","o__Veillonellales-Selenomonadales","p__Firmicutes","k__Bacteria"
"ASV_29112",TRUE,"g__Veillonella","f__Veillonellaceae","o__Veillonellales-Selenomonadales","p__Firmicutes","k__Bacteria"
"ASV_29119",TRUE,"g__Pelosinus","f__Sporomusaceae","o__Veillonellales-Selenomonadales","p__Firmicutes","k__Bacteria"
"ASV_29124",TRUE,"g__","f__Sporomusaceae","o__Veillonellales-Selenomonadales","p__Firmicutes","k__Bacteria"
"ASV_29201",TRUE,"g__Sporomusa","f__Sporomusaceae","o__Veillonellales-Selenomonadales","p__Firmicutes","k__Bacteria"
"ASV_29248",TRUE,"g__Clostridium sensu stricto 10","f__Clostridiaceae","o__Clostridiales","p__Firmicutes","k__Bacteria"
"ASV_29253",TRUE,"g__Clostridium sensu stricto 9","f__Clostridiaceae","o__Clostridiales","p__Firmicutes","k__Bacteria"
"ASV_29270",TRUE,"g__Clostridium sensu stricto 12","f__Clostridiaceae","o__Clostridiales","p__Firmicutes","k__Bacteria"
"ASV_29282",TRUE,"g__Clostridium sensu stricto 9","f__Clostridiaceae","o__Clostridiales","p__Firmicutes","k__Bacteria"
"ASV_29314",TRUE,"g__Clostridium sensu stricto 1","f__Clostridiaceae","o__Clostridiales","p__Firmicutes","k__Bacteria"
"ASV_29325",TRUE,"g__Clostridium sensu stricto 5","f__Clostridiaceae","o__Clostridiales","p__Firmicutes","k__Bacteria"
"ASV_29355",TRUE,"g__","f__Hungateiclostridiaceae","o__Oscillospirales","p__Firmicutes","k__Bacteria"
"ASV_29357",TRUE,"g__","f__Hungateiclostridiaceae","o__Oscillospirales","p__Firmicutes","k__Bacteria"
"ASV_29363",TRUE,"g__","f__","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_29370",TRUE,"g__","f__","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_29405",TRUE,"g__Enterococcus","f__Enterococcaceae","o__Lactobacillales","p__Firmicutes","k__Bacteria"
"ASV_29463",TRUE,"g__Anaeromusa-Anaeroarcus","f__Sporomusaceae","o__Veillonellales-Selenomonadales","p__Firmicutes","k__Bacteria"
"ASV_29481",TRUE,"g__Aerococcus","f__Aerococcaceae","o__Lactobacillales","p__Firmicutes","k__Bacteria"
"ASV_29504",TRUE,"g__Cytophaga","f__Cytophagaceae","o__Cytophagales","p__Bacteroidota","k__Bacteria"
"ASV_29510",TRUE,"g__Cytophaga","f__Cytophagaceae","o__Cytophagales","p__Bacteroidota","k__Bacteria"
"ASV_29576",TRUE,"g__OLB12","f__Microscillaceae","o__Cytophagales","p__Bacteroidota","k__Bacteria"
"ASV_29604",TRUE,"g__","f__Microscillaceae","o__Cytophagales","p__Bacteroidota","k__Bacteria"
"ASV_29608",TRUE,"g__Cytophaga","f__Cytophagaceae","o__Cytophagales","p__Bacteroidota","k__Bacteria"
"ASV_29645",TRUE,"g__","f__","o__","p__Elusimicrobiota","k__Bacteria"
"ASV_29654",TRUE,"g__","f__","o__","p__","k__Bacteria"
"ASV_29736",TRUE,"g__Lacihabitans","f__Spirosomaceae","o__Cytophagales","p__Bacteroidota","k__Bacteria"
"ASV_29745",TRUE,"g__Lacihabitans","f__Spirosomaceae","o__Cytophagales","p__Bacteroidota","k__Bacteria"
"ASV_29747",TRUE,"g__Fluviimonas","f__Spirosomaceae","o__Cytophagales","p__Bacteroidota","k__Bacteria"
"ASV_29811",TRUE,"g__Fonticella","f__Caloramatoraceae","o__Clostridiales","p__Firmicutes","k__Bacteria"
"ASV_29833",TRUE,"g__","f__Sporomusaceae","o__Veillonellales-Selenomonadales","p__Firmicutes","k__Bacteria"
"ASV_29855",TRUE,"g__","f__Microscillaceae","o__Cytophagales","p__Bacteroidota","k__Bacteria"
"ASV_29981",TRUE,"g__","f__","o__RBG-13-54-9","p__Chloroflexi","k__Bacteria"
"ASV_30044",TRUE,"g__Mogibacterium","f__Anaerovoracaceae","o__Peptostreptococcales-Tissierellales","p__Firmicutes","k__Bacteria"
"ASV_30060",TRUE,"g__Turneriella","f__Leptospiraceae","o__Leptospirales","p__Spirochaetota","k__Bacteria"
"ASV_30066",TRUE,"g__Turneriella","f__Leptospiraceae","o__Leptospirales","p__Spirochaetota","k__Bacteria"
"ASV_30346",TRUE,"g__Hypnocyclicus","f__Leptotrichiaceae","o__Fusobacteriales","p__Fusobacteriota","k__Bacteria"
"ASV_30473",TRUE,"g__Weissella","f__Lactobacillaceae","o__Lactobacillales","p__Firmicutes","k__Bacteria"
"ASV_30527",TRUE,"g__","f__","o__Candidatus Lloydbacteria","p__Patescibacteria","k__Bacteria"
"ASV_30538",TRUE,"g__","f__","o__Candidatus Lloydbacteria","p__Patescibacteria","k__Bacteria"
"ASV_30605",TRUE,"g__","f__","o__JGI 0000069-P22","p__Patescibacteria","k__Bacteria"
"ASV_30689",TRUE,"g__","f__","o__Candidatus Amesbacteria","p__Patescibacteria","k__Bacteria"
