"ASV","Contaminant","Genus","Family","Order","Phylum","Kingdom"
"ASV_19861",TRUE,"g__Polymorphobacter","f__Sphingomonadaceae","o__Sphingomonadales","p__Proteobacteria","k__Bacteria"
"ASV_19948",TRUE,"g__","f__Cyclobacteriaceae","o__Cytophagales","p__Bacteroidota","k__Bacteria"
"ASV_20090",TRUE,"g__","f__Simkaniaceae","o__Chlamydiales","p__Verrucomicrobiota","k__Bacteria"
"ASV_20094",TRUE,"g__","f__Simkaniaceae","o__Chlamydiales","p__Verrucomicrobiota","k__Bacteria"
"ASV_20437",TRUE,"g__Cellvibrio","f__Cellvibrionaceae","o__Pseudomonadales","p__Proteobacteria","k__Bacteria"
"ASV_20536",TRUE,"g__Legionella","f__Legionellaceae","o__Legionellales","p__Proteobacteria","k__Bacteria"
"ASV_20593",TRUE,"g__","f__Parachlamydiaceae","o__Chlamydiales","p__Verrucomicrobiota","k__Bacteria"
"ASV_20703",TRUE,"g__Sulfurospirillum","f__Sulfurospirillaceae","o__Campylobacterales","p__Campylobacterota","k__Bacteria"
"ASV_20706",TRUE,"g__Sulfurospirillum","f__Sulfurospirillaceae","o__Campylobacterales","p__Campylobacterota","k__Bacteria"
"ASV_20709",TRUE,"g__Sulfurospirillum","f__Sulfurospirillaceae","o__Campylobacterales","p__Campylobacterota","k__Bacteria"
"ASV_20714",TRUE,"g__Sulfuricurvum","f__Sulfurimonadaceae","o__Campylobacterales","p__Campylobacterota","k__Bacteria"
"ASV_20733",TRUE,"g__","f__","o__","p__SAR324 clade(Marine group B)","k__Bacteria"
"ASV_20752",TRUE,"g__Truepera","f__Trueperaceae","o__Deinococcales","p__Deinococcota","k__Bacteria"
"ASV_20771",TRUE,"g__","f__Saprospiraceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_20799",TRUE,"g__","f__Saprospiraceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_20826",TRUE,"g__","f__Saprospiraceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_20839",TRUE,"g__","f__Saprospiraceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_20846",TRUE,"g__","f__Saprospiraceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_20865",TRUE,"g__Fluviicola","f__Crocinitomicaceae","o__Flavobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_20870",TRUE,"g__Fluviicola","f__Crocinitomicaceae","o__Flavobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_20873",TRUE,"g__Fluviicola","f__Crocinitomicaceae","o__Flavobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_20883",TRUE,"g__Fluviicola","f__Crocinitomicaceae","o__Flavobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_20884",TRUE,"g__Fluviicola","f__Crocinitomicaceae","o__Flavobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_20911",TRUE,"g__","f__Saprospiraceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_20912",TRUE,"g__","f__Saprospiraceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_20940",TRUE,"g__","f__Chitinophagaceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
